name,creator,key,tab
Hey Jude,Beatles,C,6 5 5 6 -6 -4 -4 5 -5 7 7 -7 6 -6 6 -5 5 6 -6 -6 -6 -8 7 -7 7 -6 6 4 -4 5 -6 6 6 -5 5 -3 4 4 6 5 5 6 -6 -4 -4 5 -5 7 7 -7 6 6 6 -5 5 6 -6 -6 -6 -8 7 -7 7 -6 6 4 -4 5 -6 6 -5 5 -3 -3 4 4 7 -7 -6 6 6 -5 -6 7 -6 7 -5 7 -6 6 -5 6 -6 6 -5 5 -4 4 4 7 -6 -6 6 6 -5 -6 7 -6 7 -5 7 -6 6 -5 6 -6 6 -5 5 -4 4 4 6 -6 -7 -6 -7 -7 7 -8 -8
With A Little Help From My Friends,Beatles,C,5 -5 6 6 -5 5 -4 5 -5 -5 -5 -5 5 -4 -4 -4 4 -4 5 5 -5 6 6 -5 5 -4 5 -5 -5 -5 -5 5 -4 -4 -4 4 -4 5 6 4 5 -4 4 4 4 4 4 4 4 4 6 4 5 -4 4 4 4 4 4 4 4 4 6 4 -4 5 -4 4 4 4 4 4 4 4 4
Whatever Will Be Will Be (Que Sera Sera),Ray Evans,C,-7 7 -8 7 -7 -6 -7 7 -7 -5 6 -6 6 -3 5 4 -4 5 6 5 6 5 6 6 5 6 5 -6 6 -6 6 5 -5 -7 7 -8 7 -7 7 -7 -6 -7 7 -7 -5 6 -6 6 -3 5 7 -7 -6 -5 -6 -7 -8 7 -6 6 4 5 -5 -6 6 5 6 -4 6 -4 5 -5 -3 4 4 -4 5 -5 -3 4 4 4
Come A Little Bit Closer,Jay And The Americans,C,4 -4 5 5 5 5 5 5 -5 -5 -5 4 -4 -4 5 7 7 7 -7 -7 -6 -6 -6 6 -5 -5 -5 -5 -5 6 6 6 -6 -6 6 6 -7 6 7 7 7 7 -7 7 -8 7 8 8 8 -8 -8 -8 7 7 -7 7 -7 7 -8 7 -6 6 -9 -9 -9 -9 -9 8 7 7 7 -6 -6 -6 6 -6 -7 -7 -7 -9 -9 -9 -9 -9 8 7 7 7 7 -8 -8 -8 -8 7 -7 7 7 -9 -1 0 9
Danny Boy,Public Domain,C,-7 7 -8 8 -8 8 6 -6 -7 7 -7 -7 -1 0 9 8 -8 7 -6 7 8 -9 9 -1 0 9 8 7 8 -8 -6 6 -6 6 5 4 6 -6 -7 7 -6 6 5 4 5 -4 -7 8 -8 8 -8 8 -1 0 9 8 -8 7 -6 -3 4 -4 5 -4 5 -6 6 5 -4 4 4 -7 7 -8 8 -9 8 -8 7 -8 7 -3 4 -4 5 -6 6 5 4 -4 4 6 -6 -7 7 -7 -7 -6 6 -6 6 5 4 6 -6 -7 7 -7 -7 -6 6 5 -4 6 6 6 8 -8 -8 7 -6 7 6 5 4 -3 4 -4 5 -6 6 5 -4 7 -6 -7 7
Help Me Rhonda,Beach Boys,C,7 7 7 -6 5 -5 6 6 -5 5 -5 7 7 7 -6 5 -5 6 6 -5 5 -5 7 7 7 -6 5 -5 6 6 -5 5 -5 7 7 7 -6 5 -5 6 6 -5 5 -5 7 7 7 -6 5 -5 6 6 -5 5 -5 7 7 7 -6 5 -5 6 6 -5 5 -5 -6 -6 7 7 -6 7 7 7 -9 8 -8 8 8 7 6 6 -6 7 -6 7 7 7 7 -9 -9 8 -8 8 8 7 -6 7 7 -8 7 7 7 -7 -6 -6 -6 7 7 -8 -8 7
Here Comes The Sun,George Harrison,C,8 -8 8 7 8 7 -8 8 8 -8 8 7 7 -8 7 8 -8 7 -6 7 -8 6 7 -8 -5 7 -8 6 7 -8 7 -7 -6 6 1 8 7 -8 8 8 -8 7 -6 7 -8 7 -6 6 8 7 -8 8 8 -8 7 -6 8 -8 7 -7
Hooked On A Feeling,B. J. Thomas,C,5 6 6 6 -6 6 5 6 6 5 -5 -5 -5 6 -5 -5 5 5 -4 4 -4 5 -4 4 -4 5 3 5 5 -4 4 5 4 -4 5 3 5 5 -4 4 5 -6 -6 -6 -6 -6 -6 -6 -6 6 -6 -6 6 5 -5 -5 -4 -4 5 4 4 6
Change,Blind Melon,D,-4 -2 -2 -3 -4 4 -3 -2 4 5 -6 6 -5 5 6
I Dont Wanna Miss A Thing,Aerosmith,C,-6 -6 -6 1 6 1 -4 -4 1 1 9 9
